iter	Logloss
0	0.6661234413
1	0.6414626157
2	0.6198038103
3	0.6013088076
4	0.5842353512
5	0.5687927801
6	0.555819099
7	0.5438371496
8	0.5333958437
9	0.5231245038
10	0.5153343597
11	0.5075077242
12	0.5010130406
13	0.4940498553
14	0.484626707
15	0.4798503093
16	0.4717657071
17	0.4660167471
18	0.4622133261
19	0.4589052678
20	0.4550963288
21	0.4495657916
22	0.4467503174
23	0.4443543559
24	0.4422674164
25	0.4402651073
26	0.4367405453
27	0.4352561961
28	0.4325247608
29	0.4304616256
30	0.4277601657
31	0.4267076302
32	0.4251594793
33	0.4209326931
34	0.4197074635
35	0.4177429628
36	0.4153012657
37	0.4136905438
38	0.410475794
39	0.4094274215
40	0.407773987
41	0.4069777784
42	0.4062682892
43	0.4009377214
44	0.4002998028
45	0.3996935207
46	0.3992358298
47	0.3959864456
48	0.3949099056
49	0.3927762324
50	0.392337193
51	0.3917985084
52	0.3910811709
53	0.3885759699
54	0.3865383345
55	0.38613802
56	0.3834619324
57	0.3815618485
58	0.3808300053
59	0.3805506579
60	0.3801599147
61	0.3783315436
62	0.3766444333
63	0.3740269835
64	0.3735563403
65	0.3732337704
66	0.3724681549
67	0.3721527304
68	0.3715962626
69	0.3702739946
70	0.3688507653
71	0.3678103686
72	0.3675408065
73	0.3672975806
74	0.3662496104
75	0.3659752846
76	0.3656527138
77	0.3645651036
78	0.3642841115
79	0.3639865249
80	0.3622624118
81	0.3619634624
82	0.3616894655
83	0.3605190237
84	0.3587423459
85	0.3584614082
86	0.3573498606
87	0.3571170831
88	0.3554130991
89	0.3551859634
90	0.3549462501
91	0.3535793772
92	0.3533665229
93	0.3531584827
94	0.3529187055
95	0.3527892827
96	0.3523349235
97	0.3521252405
98	0.3519892495
99	0.351831648
100	0.3516867445
101	0.3515485892
102	0.3513519394
103	0.3511433873
104	0.350077554
105	0.3499290608
106	0.3490589205
107	0.3480369852
108	0.3478634433
109	0.3476675518
110	0.3469112784
111	0.3467861692
112	0.3466309861
113	0.3464926702
114	0.3463354549
115	0.3461998587
116	0.3460127619
117	0.3458186362
118	0.3456892999
119	0.3443906867
120	0.3442671227
121	0.3441574079
122	0.3439977523
123	0.3432918689
124	0.3425932957
125	0.3423785927
126	0.3415556759
127	0.3408208374
128	0.3406958649
129	0.3404232769
130	0.3392022054
131	0.3390190511
132	0.3387601556
133	0.3386256644
134	0.3384914343
135	0.3378155434
136	0.3377030187
137	0.3368154706
138	0.3367133721
139	0.3365793404
140	0.3364472474
141	0.3362879505
142	0.3354808341
143	0.335366635
144	0.3352370487
145	0.3351294501
146	0.3349965524
147	0.3348825748
148	0.3347715443
149	0.3346268933
150	0.3345286027
151	0.3344013969
152	0.3342664444
153	0.3335378526
154	0.3333746823
155	0.333273334
156	0.3331659885
157	0.3330482409
158	0.3327975142
159	0.3326206492
160	0.332494641
161	0.3319879869
162	0.3313104442
163	0.3312344957
164	0.3311281851
165	0.3303845058
166	0.3299100002
167	0.3297906566
168	0.3289383556
169	0.3288368442
170	0.3287238014
171	0.3286211433
172	0.3285168647
173	0.3283298247
174	0.328203291
175	0.3280763354
176	0.3279825405
177	0.3278396309
178	0.3277449389
179	0.3269921024
180	0.326860101
181	0.3267626317
182	0.3266416267
183	0.3261019239
184	0.3259290437
185	0.325782442
186	0.3256878867
187	0.3250862479
188	0.3240540653
189	0.323692678
190	0.3236028623
191	0.3230634129
192	0.3229354669
193	0.3227291786
194	0.3226447073
195	0.3225516678
196	0.322443581
197	0.3217526475
198	0.3215846593
199	0.3214200467
200	0.321298227
201	0.3212206197
202	0.3210819887
203	0.320967239
204	0.3208974554
205	0.3207868603
206	0.3206596021
207	0.3204715974
208	0.3202973539
209	0.3202118435
210	0.3200359033
211	0.3199104413
212	0.3197874581
213	0.3196808006
214	0.3195635236
215	0.319447992
216	0.3192997402
217	0.319125288
218	0.318983773
219	0.3183779219
220	0.3182404549
221	0.3180944036
222	0.3177346243
223	0.3176213791
224	0.3174815419
225	0.3173470287
226	0.3172316544
227	0.3171362414
228	0.316671729
229	0.3160762341
230	0.3159434584
231	0.3158604059
232	0.3157132283
233	0.3156468468
234	0.3155421164
235	0.3148317858
236	0.3146819549
237	0.3141250756
238	0.3140042134
239	0.313909072
240	0.3137685259
241	0.31360073
242	0.313478958
243	0.3133862674
244	0.3132539493
245	0.3131390883
246	0.3130338954
247	0.312898752
248	0.3127842969
249	0.3124905399
250	0.311931445
251	0.3107670293
252	0.3102797311
253	0.3101315042
254	0.3096853168
255	0.3095650232
256	0.3092301414
257	0.309126747
258	0.3090070318
259	0.308876043
260	0.3087509837
261	0.308653681
262	0.3085471622
263	0.308161205
264	0.3080752808
265	0.3079296608
266	0.3077742966
267	0.3075520044
268	0.3074364949
269	0.3069288032
270	0.306825005
271	0.3067399225
272	0.3066422126
273	0.3062384921
274	0.3057372665
275	0.3056302658
276	0.3055570309
277	0.3054255603
278	0.3052647135
279	0.3049420414
280	0.3048025621
281	0.3047082638
282	0.3045526236
283	0.3044622806
284	0.3043676675
285	0.3042540534
286	0.3036854653
287	0.3035985032
288	0.3034754138
289	0.3033398243
290	0.3030013565
291	0.3029107014
292	0.3022127012
293	0.3021148745
294	0.3020188036
295	0.3012616179
296	0.3011725934
297	0.3010514566
298	0.3009690229
299	0.3003886827
300	0.3002457621
301	0.2999261975
302	0.2997775962
303	0.2994177258
304	0.299156374
305	0.2990532129
306	0.2989767665
307	0.2988396008
308	0.2987514066
309	0.2985057595
310	0.2984046604
311	0.2982955055
312	0.2981917453
313	0.2980997793
314	0.2976811434
315	0.297608957
316	0.2975468187
317	0.2974252941
318	0.2973338467
319	0.2972295507
320	0.2971513343
321	0.2970570013
322	0.2966526804
323	0.296562827
324	0.2962685601
325	0.2961634324
326	0.2960486975
327	0.2959303535
328	0.2958458962
329	0.2957478985
330	0.2954680854
331	0.2953959311
332	0.2951700624
333	0.2950741074
334	0.2949897619
335	0.2948941528
336	0.2948070175
337	0.2947436622
338	0.2946825374
339	0.2945975924
340	0.2942760111
341	0.2941910132
342	0.2941358389
343	0.2939576221
344	0.2938822133
345	0.2937958194
346	0.2937012338
347	0.2935646245
348	0.2934572796
349	0.2933344273
350	0.2932007652
351	0.2930650246
352	0.2930113044
353	0.2929182967
354	0.2927946485
355	0.2927206062
356	0.2926263268
357	0.2925489459
358	0.2920932971
359	0.2917651421
360	0.2916951637
361	0.2916067124
362	0.2914887003
363	0.2913698372
364	0.2912408504
365	0.2911584666
366	0.290921338
367	0.2908528719
368	0.2907022674
369	0.2906041964
370	0.2903816178
371	0.2902777326
372	0.290188394
373	0.2900769196
374	0.2900170816
375	0.2899032708
376	0.2898227735
377	0.2896967688
378	0.2896326725
379	0.2895645577
380	0.2894633544
381	0.2893953005
382	0.2893381901
383	0.2892860322
384	0.2891364265
385	0.2889937922
386	0.2888841892
387	0.2888253257
388	0.2886398077
389	0.2883713018
390	0.2883277828
391	0.288233926
392	0.2881374696
393	0.2880551563
394	0.2879242838
395	0.2877747069
396	0.2876912373
397	0.2876179054
398	0.287472421
399	0.2871862351
