iter	Passed	Remaining
0	14	5629
1	27	5534
2	38	5064
3	52	5228
4	70	5548
5	84	5563
6	98	5543
7	112	5517
8	126	5481
9	140	5466
10	151	5367
11	164	5310
12	178	5323
13	190	5252
14	200	5155
15	211	5065
16	221	4983
17	231	4907
18	241	4849
19	251	4785
20	262	4740
21	273	4700
22	283	4648
23	293	4597
24	305	4576
25	315	4540
26	325	4494
27	338	4494
28	348	4454
29	358	4426
30	369	4394
31	378	4356
32	388	4316
33	400	4312
34	410	4285
35	420	4252
36	431	4230
37	441	4206
38	454	4209
39	466	4197
40	479	4197
41	490	4179
42	503	4179
43	515	4171
44	526	4154
45	537	4132
46	552	4147
47	562	4128
48	574	4116
49	585	4098
50	596	4085
51	608	4074
52	621	4066
53	631	4048
54	648	4069
55	659	4052
56	671	4037
57	681	4016
58	693	4006
59	704	3991
60	719	3999
61	733	4000
62	745	3988
63	757	3979
64	769	3964
65	780	3949
66	791	3935
67	803	3923
68	815	3912
69	827	3899
70	838	3883
71	851	3876
72	862	3865
73	873	3849
74	885	3837
75	895	3819
76	911	3825
77	923	3811
78	935	3801
79	947	3790
80	960	3780
81	972	3769
82	982	3754
83	994	3741
84	1006	3728
85	1017	3716
86	1029	3705
87	1042	3694
88	1055	3687
89	1067	3675
90	1078	3661
91	1089	3648
92	1101	3637
93	1113	3624
94	1129	3626
95	1140	3612
96	1155	3610
97	1169	3604
98	1181	3590
99	1195	3586
100	1208	3578
101	1221	3568
102	1232	3555
103	1244	3542
104	1255	3528
105	1268	3517
106	1281	3507
107	1293	3498
108	1308	3493
109	1321	3484
110	1334	3473
111	1348	3466
112	1361	3457
113	1372	3444
114	1385	3433
115	1397	3420
116	1410	3412
117	1423	3400
118	1433	3384
119	1445	3373
120	1456	3357
121	1468	3346
122	1478	3330
123	1489	3314
124	1501	3303
125	1513	3291
126	1524	3277
127	1535	3263
128	1546	3248
129	1558	3236
130	1569	3223
131	1581	3210
132	1593	3199
133	1604	3185
134	1615	3171
135	1625	3155
136	1636	3142
137	1647	3127
138	1658	3113
139	1669	3100
